smiles,name,Delta_G_ts,omega_ground_state,omega_transition_state
[H]C([H])=C([H])C(=O)N([H])c1c([H])c(C([H])([H])[H])c([H])c([H])c1Br,ZINC000134859407,12.9032,1.1344,1.3114
[H]C([H])=C([H])C(=O)N([H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],ZINC000034109918,17.1847,0.9294,1.2245
[H]C([H])=C([H])C(=O)N1C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])[H],ZINC000136025334,18.032,0.9247,1.1905
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])=C([H])[H],ZINC000149606058,18.3258,0.9096,1.2121
[H]C([H])=C([H])C(=O)N([H])C([H])([H])c1snnc1[H],ZINC000306578289,14.6603,0.9758,1.2667
[H]C([H])=C([H])C(=O)N([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],ZINC000096026619,17.9484,0.9288,1.2177
[H]C([H])=C([H])C(=O)N([H])c1c(C([H])([H])[H])c([H])nn1[H],ZINC000129092166,12.5242,1.1134,1.3037
[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c(F)c(Br)c1[H],ZINC000159784511,13.6596,1.122,1.303
[H]C([H])=C([H])C(=O)N([H])c1nc(F)c([H])c([H])c1[H],ZINC000165159132,12.5585,1.169,1.3293
[H]C([H])=C([H])C(=O)N([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],ZINC000135375434,17.2949,0.9063,1.2024
[H]C([H])=C([H])C(=O)N([H])C1([H])C([H])([H])C([H])([H])SC([H])([H])C1([H])[H],ZINC000135386111,17.9582,0.9208,1.2087
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])SC([H])(C([H])([H])[H])C1([H])[H],ZINC000135387025,15.9596,0.9609,1.2098
[H]OC([H])([H])C1(N([H])C(=O)C([H])=C([H])[H])C([H])([H])C([H])([H])C1([H])[H],ZINC000135390798,17.9473,0.9181,1.2041
[H]C([H])=C([H])C(=O)N([H])C([H])([H])c1c([H])oc([H])c1[H],ZINC000135391337,17.4254,0.9341,1.2246
[H]C([H])=C([H])C(=O)N([H])c1nc(C([H])([H])[H])c([H])o1,ZINC000135391552,12.598,1.1254,1.3075
[H]C([H])=C([H])C(=O)N([H])c1c([H])c(F)c(Br)c([H])c1C([H])([H])[H],ZINC000135228182,13.0509,1.155,1.3256
[H]C([H])=C([H])C(=O)N([H])c1c(F)c([H])c([H])c([H])c1Cl,ZINC000135246290,13.7296,1.0757,1.2818
[H]C#CC([H])([H])C([H])([H])N([H])C(=O)C([H])=C([H])[H],ZINC000069770011,17.3331,0.9337,1.2188
[H]C([H])=C([H])C(=O)N([H])c1nc(Cl)nc([H])c1[H],ZINC000161403085,10.5915,1.2946,1.4242
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C(F)(F)C([H])([H])[H],ZINC000575459643,16.4964,0.9516,1.2234
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])=C(C(F)(F)F)C([H])([H])C1([H])[H],ZINC000229270419,15.9627,0.9697,1.2121
[H]OC([H])([H])C([H])(N(C(=O)C([H])=C([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H],ZINC000211785441,17.2994,0.9224,1.1962
[H]C([H])=C([H])C(=O)N([H])c1nc([H])c([H])nc1Cl,ZINC000230683567,12.2803,1.2586,1.4004
[H]C([H])=C([H])C(=O)N([H])c1c(F)nc(F)c([H])c1[H],ZINC000231793748,13.0751,1.1306,1.3031
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])(N([H])[H])C([H])(C([H])([H])[H])C1([H])[H],ZINC000235263500,17.6581,0.9269,1.1905
[H]C([H])=C([H])C(=O)N(C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])N([H])[H],ZINC000236169400,15.7535,0.9774,1.2087
[H]C([H])=C([H])C(=O)N([H])c1c([H])nc(Cl)c(C([H])([H])[H])c1[H],ZINC000229981569,12.8929,1.1555,1.3171
[H]C([H])=C([H])C(=O)N([H])c1c([H])c(F)c([H])c(Cl)c1[H],ZINC000229996596,12.973,1.1662,1.329
[H]OC1(C([H])([H])[H])C([H])([H])C([H])([H])N(C(=O)C([H])=C([H])[H])C([H])([H])C([H])([H])C1([H])[H],ZINC000230348208,16.8968,0.9233,1.2076
[H]OC([H])([H])C([H])([H])N(C(=O)C([H])=C([H])[H])C([H])([H])C([H])(F)F,ZINC000231314757,15.9625,0.9763,1.2132
[H]C([H])=C([H])C(=O)N([H])c1nc([H])c(Cl)nc1[H],ZINC000232112876,11.3549,1.2722,1.4107
[H]C([H])=C([H])C(=O)N([H])c1c(F)c([H])c([H])c([H])c1Br,ZINC000232123221,13.6327,1.0727,1.2795
[H]C([H])=C([H])C(=O)N([H])c1c(F)c(F)c([H])c(F)c1F,ZINC000232264210,12.5996,1.1158,1.3109
[H]Oc1c([H])c([H])c([H])c([N+](=O)[O-])c1N([H])C(=O)C([H])=C([H])[H],ZINC000232395933,13.748,1.0254,1.228
[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c(C#N)c([H])c1Cl,ZINC000236026510,11.5408,1.346,1.4514
[H]C([H])=C([H])C(=O)N([H])c1nc([H])nc(Cl)c1Cl,ZINC000236067999,10.2882,1.3151,1.4565
[H]C([H])=C([H])C(=O)N([H])c1c([H])nc(Br)c(C([H])([H])[H])c1[H],ZINC000235747540,12.6498,1.1662,1.3267
[H]C([H])=C([H])C(=O)N([H])c1c([H])nc(Cl)c(Br)c1[H],ZINC000236054971,11.768,1.2173,1.3564
[H]C([H])=C([H])C(=O)N([H])c1c(C([H])([H])[H])nc(Br)c([H])c1[H],ZINC000235792410,12.7561,1.1601,1.3492
[H]C([H])=C([H])C(=O)N([H])c1c(Cl)nc([H])c(C([H])([H])[H])c1[H],ZINC000235810319,12.8196,1.1792,1.329
[H]C([H])=C([H])C(=O)N([H])c1c(Cl)nc(Cl)c([H])c1C([H])([H])[H],ZINC000235802853,13.0197,1.1106,1.2891
[H]C([H])=C([H])C(=O)N([H])c1c(Br)nc([H])c([H])c1[H],ZINC000232454989,12.4531,1.1889,1.3432
[H]C([H])=C([H])C(=O)N([H])c1c(Cl)nc([H])c(Br)c1[H],ZINC000236042485,11.4351,1.2451,1.3831
[H]C([H])=C([H])C(=O)N([H])c1nc(Cl)c([H])c(C([H])([H])[H])n1,ZINC000235842429,12.3862,1.1983,1.357
[H]C([H])=C([H])C(=O)N([H])c1nc(Cl)nc(Cl)c1[H],ZINC000236052879,10.5404,1.3511,1.4523
[H]C([H])=C([H])C(=O)N([H])c1nc([H])c(Br)nc1Br,ZINC000232476338,11.28,1.3318,1.4249
