smiles,name,Delta_G_ts,omega_ground_state,omega_transition_state
[H]OC([H])([H])C([H])([H])N([H])C(=O)C([H])=C([H])[H],ZINC000003650050,18.0083,0.9017,1.2223
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])(C([H])([H])[H])C([H])([H])c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2C1([H])C([H])([H])[H],ZINC000585141305,15.6237,0.9564,1.1973
[H]C([H])=C([H])C(=O)N([H])C([H])([H])c1noc2c([H])c([H])c([H])c([H])c12,ZINC000585141355,15.881,0.9614,1.2382
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])(N([H])[H])C1([H])[H],ZINC000616571199,16.6734,0.9352,1.2075
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])(C(F)(F)F)C([H])(N([H])[H])C1([H])[H],ZINC000616571298,16.0913,0.923,1.2478
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],ZINC000616569709,18.7613,0.9096,1.2058
[H]C([H])=C([H])C(=O)N([H])C([H])([H])c1c([H])c([H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])N2[H],ZINC000616572338,17.8162,0.9304,1.2053
[H]C([H])=C([H])C(=O)N([H])c1nc([H])c(N([H])[H])c([H])c1OC([H])([H])[H],ZINC000616572771,15.6161,1.0207,1.27
[H]C([H])=C([H])C(=O)N([H])c1c([H])nc(N([H])[H])c(OC([H])([H])[H])c1[H],ZINC000616571308,14.8347,1.0486,1.2531
[H]C([H])=C([H])C(=O)N([H])C1([H])C([H])([H])C([H])([H])OC1([H])C([H])([H])[H],ZINC000133450681,17.1709,0.931,1.2143
[H]C([H])=C([H])C(=O)N([H])C([H])([H])c1c([H])sc([H])c1[H],ZINC000063153205,17.0157,0.9391,1.2189
[H]N([H])C([H])([H])C([H])([H])N(C(=O)C#CC([H])([H])[H])C([H])([H])[H],107990248,18.4365,0.2225,0.2562
[H]C([H])([H])C#CC(=O)N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])C1([H])[H],137505157,19.1234,0.2261,0.2628
[H]C#CC(=O)N([H])c1c([H])nc(OC([H])([H])[H])c([H])c1[H],130831123,12.577,0.3007,0.3374
[H]C#CC(=O)N(C([H])([H])[H])C([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])[H],79384075,16.0674,0.2751,0.3135
[H]C#CC(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@](C#N)(C([H])([H])[H])C1([H])[H],131110412,13.5618,0.2894,0.3291
[H]c1nc([H])c(-c2nc([H])c3c(n2)C([H])([H])C([H])([H])C([H])([H])[C@]3([H])N([H])C(=O)C#Cc2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],45240834,16.6462,0.2821,0.4896
[H]C#CC(=O)N([H])c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1Cl,61130698,12.1571,0.2972,0.3658
[H]c1c([H])c([H])c(C#CC(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C2([H])[H])c([H])c1[H],61297393,20.1325,0.2685,0.2723
[H]O[C@@]([H])(C#CC(=O)N(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H],57892468,12.5383,0.2939,0.2985
