smiles,score,name
CCC[C+:1](C)C=CCC,2.1874937817,baldiELEC89
CCCC(=C[CH+:1]CC)C,3.2704647507,baldiELEC90
CCC[C:1](=[O+]C)CC,-1.3010731735,baldiELEC91
CCN(Cc1ccccc1)[CH:1]=O,-34.7000733585,baldiELEC92
CC(C)[C:1](=N)C(C)C,-37.9090274442,baldiELEC93
CCCC=C[C+:1](C)c1ccccc1,0.3719787815,baldiELEC94
CC(C)[C:1](=CC#N)C,-25.4120155006,baldiELEC95
CC[CH:1]=C(C)C(=O)C,-21.5820729072,baldiELEC96
C[C:1](=[O+]C)C(C)(C)C,-2.4929091838,baldiELEC97
CCC[N+](=[C:1](C)C(C)C)CCC,-13.2610848861,baldiELEC98
C[C:1](=[NH2+])C,-9.945041419,baldiELEC99
CCC(C)[C:1](=O)Cc1ccccc1,-27.992803723,baldiELEC100
CCC(C(C)C)[C:1](=O)C(C)C,-34.84012873891158,baldiELEC101
CC[C+:1](CC)C=C(C)C,-0.4393035557,baldiELEC102
CC(C)C[C:1](=O)Cc1ccccc1,-28.391598654,baldiELEC103
C[C:1](=[NH2+])C(C)(C)C,-11.0512694261,baldiELEC104
CCC[C+:1](C(C)C)C(C)C,4.1705741534,baldiELEC105
CCC(C)[C+:1](C)c1ccccc1,4.0213699817,baldiELEC106
CCC[C:1](=N)CCC,-36.5085817632,baldiELEC107
CC(C)CO[C:1](=O)C(C)(C)C,-31.6385903034,baldiELEC108
CCC[C+:1](Cc1ccccc1)c2ccccc2,4.3652508226,baldiELEC109
CC[C+:1](Cc1ccccc1)C(C)C,7.9075660003,baldiELEC110
CCC(C(C)C)[C:1](=O)C(CC)C(C)C,-38.228966420798194,baldiELEC111
CC(C)(C)C[C+:1](c1ccccc1)c2ccccc2,0.917202998,baldiELEC112
CC[C:1](=C(C(C)C)[N+](=O)[O-])CC,-17.0040208719,baldiELEC113
CC(C)(C)C[C:1](=O)C(C)(C)C,-31.5355105601,baldiELEC114
CCC[C+:1](CC(C)C)C(C)C,3.9626174433553865,baldiELEC115
CCC[CH:1]=[O+]C,3.3486754492303605,baldiELEC116
CCN=[C:1](C)C(C)C,-38.1602789303,baldiELEC117
CCN=[CH:1]C,-33.3863237195,baldiELEC118
CC[C+:1](C=CC)c1ccccc1,1.781087913505409,baldiELEC119
CCC(CC)[C+:1](c1ccccc1)C(C)(C)C,-0.6292615048,baldiELEC120
CCC[C:1](=C(CC)[N+](=O)[O-])C,-15.7899982693,baldiELEC121
CCC(C)O[C:1](=O)CC(C)C,-31.8521715734,baldiELEC122
CCC[C:1](=[NH2+])C,-10.1451424617,baldiELEC123
CCCC(=C[C+:1](C)CCC)CC,0.3419743641074522,baldiELEC124
CCC[O+]=[CH:1]C,2.9067920213,baldiELEC125
CCC(CC)O[C:1](=O)CC,-31.0245024644,baldiELEC126
CCC[CH:1]=[O+]CC,2.0532043969,baldiELEC127
CC(C)C[N+](=[CH2:1])CC(C)C,-6.6280058474,baldiELEC128
CCC[C:1](=C(CC)C(=O)CC)C,-24.9553362568,baldiELEC129
CCCC(=C[C+:1](CC)CCC)C,-0.6237428477,baldiELEC130
CCC[CH:1]=[N+](CC)CC,-11.3466946555,baldiELEC131
CC[CH:1]=CC(=O)C,-20.5613302793,baldiELEC132
CC(C)C[C:1](=[NH2+])C(C)C,-12.0291475842,baldiELEC133
CCC(C(C)C)[C+:1](c1ccccc1)C(C)(C)C,0.7591874671,baldiELEC134
CCC[C:1](=O)OC(C)(C)C,-32.1812952119,baldiELEC135
CCC[C:1](=NC)CC,-35.8165603726,baldiELEC136
CC(C)CO[C:1](=O)C(C)C,-31.2601725865,baldiELEC137
CC[C+:1](c1ccccc1)C(C)C,3.512056122437558,baldiELEC138
CCC[C+:1](Cc1ccccc1)Cc2ccccc2,7.1868227187,baldiELEC139
CC=C[CH+:1]c1ccccc1,1.4556022902874517,baldiELEC140
CCN[C:1](=O)Cc1ccccc1,-33.7855823579,baldiELEC141
CCC[C:1](=[O+]CCC)CC,-1.7403152743,baldiELEC142
CCC(CC)[C:1](=O)c1ccccc1,-28.226381591,baldiELEC143
CC[C+:1](CC(C)C)c1ccccc1,3.0898685145,baldiELEC144
CC(C)[C:1](=O)OC(C)C,-31.5566301884,baldiELEC145
CC[O+]=[C:1](C)C(C)(C)C,-3.1655369344,baldiELEC146
CC(C)[C:1](=[N+](C)C)C(C)C,-12.8793149639,baldiELEC147
CC(C)C[C+:1](C(C)C)C(C)(C)C,1.5378764778,baldiELEC148
CC[C:1](=[N+](C)C)C,-12.8492585129,baldiELEC149
CCC[CH+:1]C=C(C)C,3.366022616861402,baldiELEC150
CCC(=[C:1](c1ccccc1)C(C)C)[N+](=O)[O-],-16.85038578997061,baldiELEC151
CC[C:1](=[O+]C(C)C)C,-2.6783413832,baldiELEC152
CC(=[CH2:1])C=O,-16.3476052454,baldiELEC153
CC[CH:1]=C(CC)[N+](=O)[O-],-13.0793411668,baldiELEC154
CCC[C+:1](c1ccccc1)C(CC)CC,1.6516379013,baldiELEC155
CCC[N+](=[CH:1]C(C)C)CCC,-11.563191082,baldiELEC156
CC[C:1](=CC=O)CC,-19.2589541448,baldiELEC157
CC[C:1](=C(C)[N+](=O)[O-])C,-16.216183187466683,baldiELEC158
C[O+]=[CH2:1],9.0741052745,baldiELEC159
CCC[C:1](=C(CC)[N+](=O)[O-])C(C)C,-17.9562752255,baldiELEC160
CC[C+:1](C)C,8.0474796055,baldiELEC161
CC[CH:1]=NC(C)C,-35.4346072949,baldiELEC162
CCC(C)[C+:1](CC(C)C)c1ccccc1,2.037136042,baldiELEC163
CC[C:1](=C(CC)C(=O)CC)CC,-24.4651966031,baldiELEC164
CC[C:1](=C(C)[N+](=O)[O-])C(C)C,-17.5453805689,baldiELEC165
CCN[CH:1]=O,-31.6778351746,baldiELEC166
c1ccc(cc1)[CH:1]=N,-32.1904966134,baldiELEC167
CC[C:1](=[NH2+])C,-10.3350237766,baldiELEC168
CC[C:1](=[OH+])CC,-0.2559926944,baldiELEC169
CC[C:1](=O)OCC,-30.6609493361,baldiELEC170
CC[C+:1](CC)C=Cc1ccccc1,1.2846407433,baldiELEC171
CCC[C+:1](CCC)Cc1ccccc1,7.1084811121,baldiELEC172
CC(C)N=[CH2:1],-31.4447213915,baldiELEC173
C[CH:1]=C(C)[N+](=O)[O-],-13.0350560231,baldiELEC174
CC[C:1](=O)N(CC)CC,-37.0525261058,baldiELEC175
CCC[C:1](=C(CC)C#N)c1ccccc1,-26.588088755,baldiELEC176
CCC(CC)[C:1](=O)OC,-31.54512636079389,baldiELEC177
C[C:1](=O)NCc1ccccc1,-34.02215429,baldiELEC178
CCC(CC)O[C:1](=O)CC(C)C,-32.0847729353,baldiELEC179
CCN=[CH:1]c1ccccc1,-34.5150044359,baldiELEC180
CCCO[CH:1]=O,-27.319517374591303,baldiELEC181
CC[C:1](=[NH2+])C(C)C,-10.6143295737,baldiELEC182
CC(C)(C)N=[CH2:1],-32.2017549058,baldiELEC183
CCC[C:1](=O)OC(C)C,-30.6902206709,baldiELEC184
CCCC(=C[C+:1](C)C)CC,-0.0023649709,baldiELEC185
CCCC(=[C:1](C)CC)[N+](=O)[O-],-16.2155555941,baldiELEC186
CCC[C+:1](CCC)C(C)(C)C,4.2388288316,baldiELEC187
CCN([CH:1]=O)C(C)C,-35.9121942206,baldiELEC188
CC[C:1](=O)N(C(C)C)C(C)C,-39.0386461058,baldiELEC189
CCCC(=C[C+:1](CC)CC)C,-0.4165323027,baldiELEC190
CC(C)N(C(C)C)[C:1](=O)C,-41.7768333564,baldiELEC191
CCC[C:1](=C(C(C)C)[N+](=O)[O-])C(C)C,-19.9942093303,baldiELEC192
CC[C:1](=[N+](C)C)c1ccccc1,-11.2922808757,baldiELEC193
CC(C)[C:1](=C[N+](=O)[O-])C,-15.507541993422072,baldiELEC194
CCC[C:1](=O)N(CC)CCC,-37.0383628183,baldiELEC195
CC[C+:1](CC(C)C)C(C)(C)C,3.5232163227,baldiELEC196
CCCC(=C[C+:1](C)C)C,-0.3173203158,baldiELEC197
CCC[N+](=[CH:1]C(C)(C)C)CCC,-10.2607089249,baldiELEC198
CC(C)C(=[C:1](C)c1ccccc1)C#N,-26.5573084322,baldiELEC199
CC[C+:1](C(C)C)C(C)C,4.2527830629,baldiELEC200
CCC[C:1](=N)C(C)C,-36.191291125,baldiELEC201
CCC[C+:1](Cc1ccccc1)CC(C)C,5.6081370261,baldiELEC202
CCC(C(C)C)[C:1](=O)C(C)(C)C,-32.9232916506,baldiELEC203
CCC[C:1](=C(CC)[N+](=O)[O-])c1ccccc1,-15.6700866201,baldiELEC204
CC[C:1](=O)CC,-28.2603307327,baldiELEC205
CC(C)C[C+:1](Cc1ccccc1)Cc2ccccc2,6.2116301186,baldiELEC206
CC(C)[C+:1](C(C)C)C(C)C,2.8491862658,baldiELEC207
CCC(=O)C=[CH:1]C,-20.1133235667,baldiELEC208
CCC[C:1](=C[N+](=O)[O-])C,-14.9790058116,baldiELEC209
CCC(C)[C+:1](c1ccccc1)C(C)(C)C,1.6413670454,baldiELEC210
CCN(CC)[C:1](=O)C(C)C,-39.1869323001,baldiELEC211
CCCO[C:1](=O)CC,-30.5699907652,baldiELEC212
CC[N+](=[CH:1]C(C)(C)C)CC,-10.552230246890783,baldiELEC213
CC(=O)C=[CH:1]c1ccccc1,-19.8093111876,baldiELEC214
C[CH:1]=[NH2+],-7.0301344837,baldiELEC215
CCC[O+]=[C:1](C)C(C)C,-1.9492939238,baldiELEC216
CC[C:1](=CC(=O)CC)CC,-22.5974507409,baldiELEC217
CN(C)[C:1](=O)c1ccccc1,-32.6249791854,baldiELEC218
CCC[C:1](=[NH2+])CCC,-11.4724952336,baldiELEC219
CCC(=[CH:1]c1ccccc1)[N+](=O)[O-],-12.7949604353,baldiELEC220
CCC[CH+:1]c1ccccc1,8.5865760037,baldiELEC221
C[CH:1]=[OH+],4.3763859221,baldiELEC222
CC[C+:1](Cc1ccccc1)c2ccccc2,5.4884044277,baldiELEC223
CCC(=[CH2:1])C(=O)C,-18.99940421785162,baldiELEC224
CCC=C[C+:1](C)c1ccccc1,0.7698327135,baldiELEC225
CC[CH:1]=NC(C)(C)C,-36.2730371102,baldiELEC226
CCC[CH:1]=NC(C)(C)C,-36.58989888085232,baldiELEC227
CCCC=C[CH+:1]CCC,5.4438089213,baldiELEC228
