name,real_name,smiles,prod_smiles,MCA*,MCA*.1,S(N)¥N,s(N),N,solvent,M+,Other Condn
mca37,Methyl Carbonate,O=C([O-])OC,O=C(OC)OC,,386.3494925,10.2592,0.64,16.03,MeCN,Bu4N+,
mca38,Trifluoroacetamide Anion (E configuration),O=C([NH-])C(F)(F)F,O=C(NC)C(F)(F)F,507.6700312,,10.1184,0.64,15.81,DMSO,K+,
mca39,Dimethyl Sulfoxonium Ylide,O=[S+](C)(C)[CH2-],O=[S+](C)(C)CC,545.8454064,,10.0063,0.47,21.29,DMSO,,K+HOtBu
mca40,2-Methylimidazoline,CC1=NCCN1,CC1=[N+](C)CCN1,488.3541113,,9.9484,0.77,12.92,DCM,,
mca41,4-Dimethylaminopyridine,CN(C)C1=CC=NC=C1,C[N+]1=CC=C(N(C)C)C=C1,466.5773746,,9.916,0.67,14.8,DMSO,,
mca42,4-Pyridone Anion (N alkylation),[O-]C1=CC=NC=C1,O=C1C=CN(C)C=C1,496.0005197,,9.9078,0.49,20.22,MeCN,,
mca43,2-Ethoxy-2-oxo-1-(pyridin-1-ium-1-yl)ethan-1-ide *,[O-]/C(OCC)=C\[N+]1=CC=CC=C1,O=C(OCC)C(C)[N+]1=CC=CC=C1,521.5447311,,9.8827,0.37,26.71,DMSO,,K+HOtBu
mca44,E-1-(N-morpholino)propene ,C/C=C/N1CCOCC1,CC(C)/C=[N+]1CCOCC/1,463.9855179,,9.648,0.8,12.06,DCM,,
mca45,Hydantoin Anion,O=C(NC1)[N-]C1=O,O=C(NC1)N(C)C1=O,497.2173649,,9.636,0.55,17.52,DMSO,,
mca46,Benzylamine,NCC1=CC=CC=C1,C[N+]([H])([H])CC1=CC=CC=C1,457.4522928,,9.5743,0.67,14.29,MeCN,,
mca47,Propylamine,CCCN,CCC[N+]([H])([H])C,463.8232848,,9.5193,0.63,15.11,MeCN,,
mca48,Allylamine,C=CCN,C=CC[N+]([H])([H])C,455.4058897,,9.4842,0.66,14.37,MeCN,,
mca49,Triphenylphosphine,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,485.0991917,,9.3145,0.65,14.33,DCM,,
mca50,Hydrazine,NN,N[N+]([H])([H])C,451.1847345,,9.212,0.56,16.45,MeCN,,
mca51,Imidazole,N1C=NC=C1,C[N+]1=CNC=C1,450.1600799,,9.1482,0.79,11.58,DMSO,,
mca52,Imine,CC1=NCCC1,CC1=[N+](C)CCC1,467.5185502,,9.0528,0.69,13.12,DCM,,
mca53,Triethylamine,CCN(CC)CC,CC[N+](CC)(C)CC,464.1243759,,8.996,0.52,17.3,DCM,,
mca54,Silyl Ketene Acetal,C[Si](C)(C)OC1=CCCO1,C[Si](C)(C)O[C+]1OCCC1C,490.3485249,,8.8848,0.72,12.34,MeCN,,
mca55,Hydrazone (N-alkylation),C=NN(C)C,C=[N+](C)N(C)C,413.1901758,,8.8826,0.46,19.31,DCM,,
mca56,Pyridine,N1=CC=CC=C1,C[N+]1=CC=CC=C1,437.0905967,,8.643,0.67,12.9,DCM,,
mca57,Aniline,[H]N([H])C1=CC=CC=C1,C[N+]([H])([H])C1=CC=CC=C1,407.0011771,,8.5952,0.68,12.64,MeCN,,
mca58,Diazomethane,N#[N+][CH2-],N#[N+]CC,449.5047316,,8.1744,0.78,10.48,DCM,,
mca59,Hydroxylamine,ON,O[NH2+]C,429.9048431,,8.064,0.63,12.8,MeCN,,
mca60,"1,1-Diethoxyethene",C=C(OCC)OCC,CC[O+]=C(OCC)CC,429.8005554,,7.9461,0.81,9.81,DCM,,
mca61,Ammonia,[H]N([H])[H],[H][NH2+]C,449.6721404,,7.8591,0.69,11.39,MeCN,,
mca62,"2,2,2-Trifluoroethan-1-amine",NCC(F)(F)F,FC(F)(F)C[N+](C)([H])[H],416.4201972,,7.5975,0.75,10.13,DCM,,
mca63,2-Methyloxazoline,CC1=NCCO1,CC1=[N+](C)CCO1,449.1790907,,7.5537,0.77,9.81,DCM,,
mca64,Thiocyanate (N alkylation),N#C[S-],S=C=NC,406.7576572,,7.278,0.6,12.13,MeCN,Bu4N+,
mca65,Tri Butoxy Phosphite,CCCCOP(OCCCC)OCCCC,C[P+](OCCCC)(OCCCC)OCCCC,488.8985482,,7.252,0.7,10.36,DCM,,
mca66,Indole,C1(NC=C2)=C2C=CC=C1,CC1C=[NH+]C2=C1C=CC=C2,393.0364056,,6.0495,1.09,5.55,DCM,,
mca67,Hydrazone (C-alkylation),C=NN(C)C,C/[N+](C)=N/CC,432.3972801,,5.933,0.85,6.98,DCM,,
mca68,1-(Trimethylsiloxy)cyclohexene,C[Si](C)(C)OC1=CCCCC1,C[Si](C)(C)O[C+]1C(C)CCCC1,418.4057801,,5.21,1.0,5.21,DCM,,
mca69,Pyrrole,C1=CC=CN1,CC1[NH+]=CC=C1,399.2767529,,4.63,1.0,4.63,DCM,,
mca70,N-(Cyclohex-1-en-1-yl)acetamide,CC(NC1=CCCCC1)=O,CC(/[NH+]=C1CCCCC/1C)=O,407.8303348,,4.4556,0.79,5.64,MeCN,,
mca71,(2-Methylallyl)trimethylsilane ,C[Si](C)(CC(C)=C)C,C[Si](C)(C[C+](C)CC)C,406.2656894,,4.2336,0.96,4.41,DCM,,
mca72,Tert-Butyl Isocyanide,[C-]#[N+]C(C)(C)C,CC(C)(C)[N+]#CC,449.1544531,,4.2119,0.77,5.47,DCM,,
mca73,"2,3-Dihydrofuran",C1CC=CO1,CC1C=[O+]CC1,405.0875526,,3.933,0.9,4.37,DCM,,
mca74,Ethyl Vinylether*,CCOC=C,CC/[O+]=C\CC,388.6517504,,3.528,0.9,3.92,DCM,,
