SMIRKS,Source type,Sink type,Ref
C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10]>>CC1(C)C[C:20](C)(C)[OH+:10]C2=C1C=C(C=C2)Br 10=22,CN2 diazo,C=O+ oxacarbenium,"Katsuhima, Takeo; Yamaguchi, Ryohei; Kawanisi, Mituyosi[Bulletin of the Chemical Society of Japan, 1982, vol. 55, # 10, p. 3245 - 3247]"
N#N.CC(C)=[O:10].[CH2+:20]C1=CC=CC=C1>>CC([CH3:1])=[O+:10][CH2:20]C2=CC=CC=C2.N#N 10=22,N aniline,C=C acrylonitrile,"Komarov; Chkanikov; Galakhov; Kolomietz; Fokin[Journal of Fluorine Chemistry, 1990, vol. 47, # 1, p. 59 - 69]"
C1C[O:10]C1.C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2>>C1C[O+:10](C1)[CH:20](C2=CC=CC=C2)C3=CC=CC=C3 10=22,N aniline,C=O+ oxacarbenium,"De Kimpe,N. et al.[Indian Journal of Chemistry - Section B Organic and Medicinal Chemistry, 1976, vol. 14, p. 263 - 267]"
CC1=CCC(CC1)[C+:20](C)C.CC1(C2CC1C3(C(C2)[O:10]3)C)C>>CC1=CCC(CC1)[C:20](C)(C)[O+:10]2C3C2(C4CC(C3)C4(C)C)C 10=22,N aniline,C=O aldehyde,"Da Silva-Filho, Luiz Carlos; Lacerda Jr., Valdemar; Constantino, Mauricio Gomes; Da Silva, Gil Valdo Jose [Synthesis, 2008, # 16, art. no. M01408SS, p. 2527 - 2536]"
C[C+:20]1CCCCCC1C2=C(C=CC(=C2)OC)[NH:10]C>>C[C:20]12CCCCCC1C3=C(C=CC(=C3)OC)[NH+:10]2C 10=20,N aniline,C+ carbenium,"Kupai, Katalin; Banoczi, Gergely; Hornyanszky, Gabor; Kolonits, Pal; Novak, Lajos[Central European Journal of Chemistry, 2012, vol. 10, # 1, p. 91 - 95]"
C[C+:20](C)C.C1=CC(=CC=C1[NH2:10])Cl>>C[C:20](C)(C)[NH2+:10]C1=CC=C(C=C1)Cl 10=20,N aniline,C+ carbenium,
"COC1=CC=C(C=C1)/[CH:20]=[NH+:21]/C2CCCCC2.C1=CC=C(C=C1)[NH2:10]>>COC1=CC=C(C=C1)[CH:20]([NH2+:10]C2=CC=CC=C2)[NH:21]C3CCCCC3 10=20;20,21=21",N aniline,C=N+ iminium,"Singh, Serjinder; Singh, Iqbal [Journal of the Chemical Society. Chemical communications, 1982, # 17, p. 1000 - 1001]"
"CCC/[N:10]=C/C1=CC=CC=C1.C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O>>CCC/[N+:10](=C/C1=CC=CC=C1)/[C:20]2(C3=C(CC(=O)O2)C=CC=C3)[O-:21] 10=20;20,21=21",N=C imine,C=O anhydride,"Yuen, J.; Chai, J.; Ding, Y. Bioconjugate Chemistry¾ 2020,¾31,¾12,¾2712-2718"
"CC(=O)OCC1C(C[CH:20]=[O+:21]1)OC(=O)C.C1=CC(=[N:10]C=C1)O>>CC(=O)OCC1C(C[CH:20]([O:21]1)[N+:10]2=C(C=CC=C2)O)OC(=O)C 10=20;20,21=21",N=C pyridine,C=O+ oxacarbenium,"Tauraite, Daiva; Ra_anas, Rytis; Mikalkenas, Algirdas; Serva, Saulius; Me_kys, Rolandas Nucleosides, nucleotides and nucleic acids, 2016, 35, 163 - 177]"
"CCC(CC)O.CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C.CN(C)C1=CC=[N:10]C=C1>>CCC(CC)O.CCC(C(C)[C:20]([N+:10]1=CC=C(C=C1)N(C)C)([O-:21])Cl)O[Si](C)(C)C(C)(C)C 10=20;20,21=21",N=C pyridine,C=O acyl chloride,"Mori, Kenji; Ishikura, Masaharu[Liebigs Annalen der Chemie, 1989, p. 1263"
"CC[C:20](=[O:21])OC1=CC=C(C=C1)[N+](=O)[O-].CN(C)C1=CC=[N:10]C=C1>>CC[C:20]([N+:10]1=CC=C(C=C1)N(C)C)([O-:21])OC2=CC=C(C=C2)[N+](=O)[O-] 10=20;20,21=21",N=C pyridine,C=O ester,"Komarov; Chkanikov; Galakhov; Kolomietz; Fokin[Journal of Fluorine Chemistry, 1990, vol. 47, # 1, p. 59 - 69]"
