name,smiles
R01,COC(=O)c1nnc(C)o1.COC(=O)c1nc(C(C)(C)N)[nH]c(=O)c1O
R02,COC(=O)c1nc(C(C)(C)NC(=O)c2nnc(C)o2)[nH]c(=O)c1O.CB(O)O
R03,NCc1ccc(F)cc1.COC(=O)c1nc(C(C)(C)NC(=O)c2nnc(C)o2)n(C)c(=O)c1O
